,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,35866.382187312454
78,87,16014.51157029263
79,89,6213.768944223613
80,91,2915.533810451598
81,93,1364.978084920712
82,94,1014.2784868685877
83,96,632.2713068140025
84,98,413.53628564886384
85,100,286.2224509227467
86,102,195.66943430291644
87,104,134.11784014112934
88,106,101.64334206710107
89,108,83.82758404857658
90,110,74.16724885170284
91,112,72.68882615275795
92,114,79.87932623320994
93,116,98.12630052196575
94,119,160.2391542470458
95,121,225.3821615618604
96,123,342.10638791524826
97,126,709.4786203816176
98,128,1179.7957101927302
