,scales,lacunarity
0,1,
1,2,66785353482.06562
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,64082.04607888279
78,87,31869.379714658447
79,89,5832.006320707661
80,91,4861.294380110695
81,93,2213.3272473592033
82,94,1755.3367009471779
83,96,1659.3344884599019
84,98,1287.5693705512065
85,100,1114.5342280465447
86,102,1162.1825797741892
87,104,837.2305234003279
88,106,763.31253842516
89,108,551.5023298999428
90,110,311.58200646906755
91,112,323.98660870661337
92,114,427.2221242303876
93,116,401.4532678501549
94,119,666.557307053123
95,121,839.6320683795437
96,123,828.8228131417432
97,126,1598.3603122892778
98,128,1417.2367918178609
