,scales,lacunarity
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,
10,11,
11,12,
12,13,
13,14,
14,15,
15,16,
16,17,
17,18,
18,19,
19,20,
20,21,
21,22,
22,23,
23,24,
24,25,
25,26,
26,27,
27,28,
28,29,
29,30,
30,31,
31,32,
32,33,
33,34,
34,35,
35,36,
36,37,
37,38,
38,39,
39,40,
40,41,
41,42,
42,43,
43,44,
44,45,
45,46,
46,47,
47,48,
48,49,
49,50,
50,51,
51,52,
52,53,
53,54,
54,55,
55,56,
56,58,
57,59,
58,60,
59,61,
60,62,
61,63,
62,65,
63,66,
64,67,
65,68,
66,70,
67,71,
68,72,
69,74,
70,75,
71,77,
72,78,
73,80,
74,81,
75,83,
76,84,
77,86,2210947.2575288266
78,87,464367.5935535441
79,89,18609.035595231842
80,91,12804.341556792308
81,93,36733.030919608515
82,94,24601.41598819873
83,96,4641.016677493937
84,98,1223.9304991907477
85,100,1159.0117288776812
86,102,1375.4850661726575
87,104,1638.6247187011577
88,106,2438.3803809015094
89,108,1919.6760465339046
90,110,1753.7453120256985
91,112,1690.1926712090697
92,114,2367.7764531105563
93,116,1082.4165103001114
94,119,1303.612066074458
95,121,669.2530838015114
96,123,977.948938370574
97,126,6990.534067345599
98,128,
